trp_multiplayer_profile_troop_male|ehhhhhhh wtf
trp_rhine_mounted_jaeger_ai_pl|Berittene Jäger 
trp_rhine_uhlan_ai|Sächsischer Ulan 
trp_rhine_uhlan_ai_pl|Ulanen 
trp_rhine_light_dragoon_ai|Badner Leichter Dragoon 
trp_rhine_light_dragoon_ai_pl|Leichte Dragoner 
trp_rhine_cuirassier_ai|Westfälischer Kürassier 
trp_rhine_cuirassier_ai_pl|Kürassiere 
trp_rhine_garde_du_corps_ai|Sächsische Pferdewache 
trp_rhine_garde_du_corps_ai_pl|Horse Guards 
trp_rhine_arty_ai|Bayerischer Artillerist 
trp_rhine_arty_ai_pl|Artillerie (Kanone) 
trp_rhine_arty_alt_ai|Bayerischer Artillerist 
trp_rhine_arty_alt_ai_pl|Artillerie (Haubitze) 
trp_austrian_11_ai_pl|Linieninfanterie
trp_austrian_11_ai|Austrian Linieninfanterie
trp_austrian_16_ai_pl|Grenadier
trp_austrian_16_ai|Austrian Grenadier
trp_austrian_24_ai_pl|Linieninfanterie
trp_austrian_24_ai|Austrian Linieninfanterie
trp_austrian_31_ai_pl|Linieninfanterie
trp_austrian_31_ai|Hungarian Linieninfanterie
trp_austrian_34_ai_pl|Linieninfanterie
trp_austrian_34_ai|Hungarian Linieninfanterie
trp_austrian_39_ai_pl|Linieninfanterie
trp_austrian_39_ai|Hungarian Linieninfanterie
trp_austrian_4_ai_pl|Linieninfanterie
trp_austrian_4_ai|Austrian Linieninfanterie
trp_austrian_51_ai_pl|Linieninfanterie
trp_austrian_51_ai|Hungarian Linieninfanterie
trp_austrian_56_ai_pl|Grenadier
trp_austrian_56_ai|Austrian Grenadier
trp_austrian_59_ai_pl|Linieninfanterie
trp_austrian_59_ai|Austrian Linieninfanterie
trp_austrian_cuirassier5_ai_pl|Kürassiere
trp_austrian_cuirassier5_ai|Austrian Kürassiere
trp_austrian_grenzer5_ai_pl|Grenzer
trp_austrian_grenzer5_ai|Austrian Grenzer
trp_austrian_horseart_ai_pl|Horse Artillerie
trp_austrian_horseart_ai|Austrian Horse Artillerie
trp_austrian_hussar12_ai_pl|Husar
trp_austrian_hussar12_ai|Austrian Husar
trp_brit_canadian_horsemen_ai_pl|Canadian Colonial Light Cavalry
trp_brit_canadian_horsemen_ai|Canadian Colonial Light Cavalry
trp_brit_canadian_infantry_ai_pl|Canadian Colonial Infanterie
trp_brit_canadian_infantry_ai|Canadian Colonial Infanterie
trp_brit_horseart_ai_pl|Royal Horse Artillerie
trp_brit_horseart_ai|Royal Horse Artillerie
trp_brit_indian_ai_pl|Indian Infanterie
trp_brit_indian_ai|Indian Infanterie
trp_british_foot_guard_ai_pl|British Foot Guard
trp_british_foot_guard_ai|British Foot Guard
trp_british_highlander78_ai_pl|British Linieninfanterie
trp_british_highlander78_ai|British Linieninfanterie
trp_british_hussar_ai_pl|British Husar
trp_british_hussar_ai|British Husar
trp_british_infantry14_ai_pl|British Linieninfanterie
trp_british_infantry14_ai|British Linieninfanterie
trp_french_corses_ai_pl|Corsican Rifle
trp_french_corses_ai|Corsican Rifle
trp_french_foot_dragoon_ai_pl|French Dragoner
trp_french_foot_dragoon_ai|French Dragoner
trp_french_gendarme_ai_pl|French Gendarme
trp_french_gendarme_ai|French Gendarme
trp_french_guard_marines_ai_pl|French Marine Guard
trp_french_guard_marines_ai|French Marine Guard
trp_french_horseart_ai_pl|French Horse Artillerie
trp_french_horseart_ai|French Horse Artillerie
trp_french_hussar5_ai_pl|French Husar
trp_french_hussar5_ai|French Husar
trp_french_infantry14_ai_pl|French Linieninfanterie
trp_french_infantry14_ai|French Linieninfanterie
trp_french_infantry3_ai_pl|French Linieninfanterie
trp_french_infantry3_ai|French Linieninfanterie
trp_french_infantry65_ai_pl|French Linieninfanterie
trp_french_infantry65_ai|French Linieninfanterie
trp_french_infantry_1er_ai_pl|French Linieninfanterie
trp_french_infantry_1er_ai|French Linieninfanterie
trp_french_infantry_swiss_ai_pl|Swiss Linieninfanterie
trp_french_infantry_swiss_ai|Swiss Linieninfanterie
trp_french_mounted_chasseur_ai_pl|French Mounted Chasseur
trp_french_mounted_chasseur_ai|French Mounted Chasseur
trp_nwe_rus_horse_arty_ai_pl|Russian Horse Artillerie
trp_nwe_rus_horse_arty_ai|Russian Horse Artillerie
trp_ottoman_arty_ai_pl|Ottoman artillery
trp_ottoman_arty_ai|Ottoman artillery
trp_ottoman_arty_alt_ai_pl|Ottoman Artillerie
trp_ottoman_arty_alt_ai|Ottoman Artillerie
trp_ottoman_arty_guard_ai_pl|Ottoman Artillerie Guard
trp_ottoman_arty_guard_ai|Ottoman Artillerie Guard
trp_ottoman_bashi_ai_pl|Bashi-bazouk
trp_ottoman_bashi_ai|Bashi-bazouk
trp_ottoman_camel_cav_ai_pl|Ottoman Light Camel Cavalry
trp_ottoman_camel_cav_ai|Ottoman Light Camel Cavalry
trp_ottoman_camel_heavy_cav_ai_pl|Ottoman Heavy Camel Cavalry
trp_ottoman_camel_heavy_cav_ai|Ottoman Heavy Camel Cavalry
trp_ottoman_cuirassier_ai_pl|Ottoman Kürassiere
trp_ottoman_cuirassier_ai|Ottoman Kürassiere
trp_ottoman_dragoon_ai_pl|Ottoman Dragoner
trp_ottoman_dragoon_ai|Ottoman Dragoner
trp_ottoman_heavy_cavalry_ai_pl|Mamluk
trp_ottoman_heavy_cavalry_ai|Mamluk
trp_ottoman_horseart_ai_pl|Ottoman Horse Artillerie
trp_ottoman_horseart_ai|Ottoman Horse Artillerie
trp_ottoman_horseart_guard_ai_pl|Ottoman Horse Artillerie Guard
trp_ottoman_horseart_guard_ai|Ottoman Horse Artillerie Guard
trp_ottoman_hussar_ai_pl|Ottoman Husar
trp_ottoman_hussar_ai|Ottoman Husar
trp_ottoman_jani_ai_pl|Ottoman Janissary
trp_ottoman_jani_ai|Ottoman Janissary
trp_ottoman_jani_istanbul_ai_pl|Ottoman Janissary
trp_ottoman_jani_istanbul_ai|Ottoman Janissary
trp_ottoman_lancer_ai_pl|Ottoman Lancer
trp_ottoman_lancer_ai|Ottoman Lancer
trp_ottoman_levend_ai_pl|Ottoman Linieninfanterie
trp_ottoman_levend_ai|Ottoman Linieninfanterie
trp_ottoman_libyan_ai_pl|Libyan Bedouin
trp_ottoman_libyan_ai|Libyan Bedouin
trp_ottoman_light_ai_pl|Albanian Light Infanterie
trp_ottoman_light_ai|Albanian Light Infanterie
trp_ottoman_rifle_ai_pl|Ottoman Rifleman
trp_ottoman_rifle_ai|Ottoman Rifleman
trp_ottoman_ship_ai_pl|Ship Crew
trp_ottoman_ship_ai|Ship Crew
trp_ottoman_ship_cannon_ai_pl|Ottoman Ship Crew
trp_ottoman_ship_cannon_ai|Ottoman Ship Crew
trp_ottoman_ship_marine_ai_pl|Ottoman Marine
trp_ottoman_ship_marine_ai|Ottoman Marine
trp_ottoman_subara_ai_pl|Ottoman Linieninfanterie
trp_ottoman_subara_ai|Ottoman Linieninfanterie
trp_ottoman_uskudar_ai_pl|Ottoman Linieninfanterie
trp_ottoman_uskudar_ai|Ottoman Linieninfanterie
trp_pruss_brun_ai_pl|Prussian Foot Guard
trp_pruss_brun_ai|Prussian Foot Guard
trp_pruss_cav_silesian_ai_pl|Prussian Kürassiere
trp_pruss_cav_silesian_ai|Prussian Kürassiere
trp_pruss_freiw_ai_pl|Prussian Jaeger
trp_pruss_freiw_ai|Prussian Jaeger
trp_pruss_horseart_ai_pl|Prussian Horse Artillerie
trp_pruss_horseart_ai|Prussian Horse Artillerie
trp_rhine_grenadier_guard2_ai_pl|Berg Grenadier Guard
trp_rhine_grenadier_guard2_ai|Berg Grenadier Guard
trp_rhine_horseart_ai_pl|Saxon Horse Artillerie
trp_rhine_horseart_ai|Saxon Horse Artillerie
trp_russian_butyrskiy_infantry_ai_pl|Russian Linieninfanterie
trp_russian_butyrskiy_infantry_ai|Russian Linieninfanterie
trp_russian_finnish_jaeger_ai_pl|Finnish Jaeger
trp_russian_finnish_jaeger_ai|Finnish Jaeger
trp_russian_glukhovskiy_cuirassier_ai_pl|Russian Kürassiere
trp_russian_glukhovskiy_cuirassier_ai|Russian Kürassiere
trp_russian_internal_guard_ai_pl|Russian Internal Guard
trp_russian_internal_guard_ai|Russian Internal Guard
trp_russian_litovski_guard_ai_pl|Russian Foot Guard
trp_russian_litovski_guard_ai|Russian Foot Guard
trp_british_foot_guard1_ai|1st Regiment of Garde zu Fuß
trp_british_foot_guard1_ai_pl|Garde zu Fuss
trp_british_hussar2_ai|2nd KGL Hussars
trp_british_hussar2_ai_pl|Husar
trp_prussian_infantry_2_ai|2. Infanterie-Regiment
trp_prussian_infantry_2_ai_pl|Linieninfanterie
trp_prussian_infantry12_ai|12. Brandenburgische Infanterie-Regiment
trp_prussian_infantry12_ai_pl|Linieninfanterie
trp_prussian_infantry14_ai|14. Westfalische Infanterie-Regiment
trp_prussian_infantry14_ai_pl|Linieninfanterie
trp_prussian_infantry18_ai|18. Infanterie-Regiment
trp_prussian_infantry18_ai_pl|Linieninfanterie
trp_prussian_infantry24_ai|24. Brandenburgische Infanterie-Regiment
trp_prussian_infantry24_ai_pl|Linieninfanterie
trp_prussian_infantry26_ai|26. Magdeburgische Infanterie-Regiment
trp_prussian_infantry26_ai_pl|Linieninfanterie
trp_prussian_infantry_elbe_ai|2. Elb-Landwehr-Regiment
trp_prussian_infantry_elbe_ai_pl|Linieninfanterie
trp_prussian_dragoon5_ai|5. Brandenburgische Dragoner-Regiment
trp_prussian_dragoon5_ai_pl|Dragoner
trp_prussian_hussar_mhr_ai|Magdeburgisches Husaren-Regiment Nr.10
trp_prussian_hussar_mhr_ai_pl|Husar
trp_austrian_32_ai|Infanterie Regiment Nr.32 Eszterházy
trp_austrian_32_ai_pl|Linieninfanterie
trp_italian_infantry1_ai|Italienische Linieninfanterie
trp_italian_infantry2_ai|Italienische Linieninfanterie
trp_italian_infantry3_ai|Italienische Linieninfanterie
trp_italian_infantry4_ai|Italienische Linieninfanterie
trp_italian_infantry5_ai|Italienische Linieninfanterie
trp_italian_foot_guard1_ai|Italienische Garde zu Fuß
trp_italian_foot_guard2_ai|Italienische Garde zu Fuß
trp_italian_foot_guard3_ai|Italienische Garde zu Fuß
trp_italian_light_ai|Italienische Leichte Infanterie
trp_italian_rifle_ai|Italienische Jäger
trp_italian_hussar1_ai|Italienische Husar
trp_italian_hussar2_ai|Italienische Husar
trp_italian_dragoon_ai|Italienische Dragoner
trp_italian_cuirassier1_ai|Italienische Horse Guard
trp_italian_cuirassier2_ai|Italienische Gendarme
trp_italian_arty_ai|Italienische Artillerie
trp_italian_arty_alt_ai|Italienische Artillerie
trp_italian_horseart_ai|Italienische Horse Artillerie
trp_italian_ship_marine_ai|Italienische Marine
trp_italian_ship_ai|Schiffscrew
trp_italian_infantry1_ai_pl|Linieninfanterie
trp_italian_infantry2_ai_pl|Linieninfanterie
trp_italian_infantry3_ai_pl|Linieninfanterie
trp_italian_infantry4_ai_pl|Linieninfanterie
trp_italian_infantry5_ai_pl|Linieninfanterie
trp_italian_foot_guard1_ai_pl|Garde zu Fuß
trp_italian_foot_guard2_ai_pl|Garde zu Fuß
trp_italian_foot_guard3_ai_pl|Garde zu Fuß
trp_italian_light_ai_pl|Leichte Infanterie
trp_italian_rifle_ai_pl|Jäger
trp_italian_hussar1_ai_pl|Husar
trp_italian_hussar2_ai_pl|Husar
trp_italian_dragoon_ai_pl|Dragoner
trp_italian_cuirassier1_ai_pl|Horse Guards
trp_italian_cuirassier2_ai_pl|Gendarme
trp_italian_arty_ai_pl|Artillerie (Kanone) 
trp_italian_arty_alt_ai_pl|Artillerie (Haubitze) 
trp_italian_horseart_ai_pl|Horse Artillerie
trp_italian_ship_marine_ai_pl|Marine
trp_italian_ship_ai_pl|Schiffscrew
trp_rhine_infantry_saxony2_ai|Sächsische Linieninfanterie 
trp_rhine_infantry_saxony2_ai_pl|Linieninfanterie
trp_rhine_westphalian_hussar_ai|Westfälischer Husar
trp_rhine_westphalian_hussar_ai_pl|Husar
trp_rhine_infantry_waldeck_ai|Waldeck Fürstentümer Linieninfanterie
trp_rhine_infantry_waldeck_ai_pl|Linieninfanterie
trp_rhine_wurt_guard_ai|Wurttemberger Garde zu Fuß
trp_rhine_wurt_guard_ai_pl|Garde zu Fuß
trp_russian_ship_marine_ai|Schiffscrew
trp_russian_ship_marine_ai_pl|Marine
trp_russian_ship_ai|Schiffscrew
trp_russian_ship_ai_pl|Schiffscrew
trp_british_infantry|33rd Regiment of Foot
trp_british_infantry_pl|Linieninfanterie
trp_british_infantry_nco|33rd Regiment of Foot
trp_british_infantry_nco_pl|Unteroffizier
trp_british_infantry_officer|33rd Regiment of Foot
trp_british_infantry_officer_pl|Offizier
trp_british_infantry_drum|33rd Regiment of Foot
trp_british_infantry_drum_pl|Trommler
trp_british_infantry_flute|33rd Regiment of Foot
trp_british_infantry_flute_pl|Flötenspieler
trp_british_infantry2|5th Line Battalion King's German Legion
trp_british_infantry2_pl|Linieninfanterie
trp_british_infantry2_nco|Kings German Legion 5th Battalion
trp_british_infantry2_nco_pl|Unteroffizier
trp_british_infantry2_officer|Kings German Legion 5th Battalion
trp_british_infantry2_officer_pl|Offizier
trp_british_infantry2_drum|Kings German Legion 5th Battalion
trp_british_infantry2_drum_pl|Trommler
trp_british_infantry2_flute|Kings German Legion 5th Battalion
trp_british_infantry2_flute_pl|Flötenspieler
trp_british_highlander|42nd Regiment of Foot (Black Watch)
trp_british_highlander_pl|Linieninfanterie
trp_british_highlander_nco|42nd Highland Regiment of Foot
trp_british_highlander_nco_pl|Unteroffizier
trp_british_highlander_officer|42nd Highland Regiment of Foot
trp_british_highlander_officer_pl|Offizier
trp_british_highlander_drum|42nd Highland Regiment of Foot
trp_british_highlander_drum_pl|Trommler
trp_british_highlander_pipes|42nd Highland Regiment of Foot
trp_british_highlander_pipes_pl|Piper
trp_british_foot_guard|Coldstream Regiment of Garde zu Fuß
trp_british_foot_guard_pl|Garde zu Fuss
trp_british_foot_guard_nco|2nd Regiment of Garde zu Fuß (Coldstream)
trp_british_foot_guard_nco_pl|Unteroffizier
trp_british_foot_guard_officer|2nd Regiment of Garde zu Fuß (Coldstream)
trp_british_foot_guard_officer_pl|Offizier
trp_british_foot_guard_drum|2nd Regiment of Garde zu Fuß (Coldstream)
trp_british_foot_guard_drum_pl|Trommler
trp_british_foot_guard_flute|2nd Regiment of Garde zu Fuß (Coldstream)
trp_british_foot_guard_flute_pl|Flötenspieler
trp_british_light_infantry|51st (2nd Yorkshire West Riding) Regiment of Foot
trp_british_light_infantry_pl|Leichte Infanterie
trp_british_light_infantry_nco|51st Regiment of Foot
trp_british_light_infantry_nco_pl|Unteroffizier
trp_british_light_infantry_officer|51st Regiment of Foot
trp_british_light_infantry_officer_pl|Offizier
trp_british_light_infantry_horn|51st Regiment of Foot
trp_british_light_infantry_horn_pl|Hornist
trp_british_rifle|95th Regiment of Foot (Rifles)
trp_british_rifle_pl|Jäger
trp_british_rifle_nco|95th Rifle Regiment of Foot
trp_british_rifle_nco_pl|Unteroffizier
trp_british_rifle_officer|95th Rifle Regiment of Foot
trp_british_rifle_officer_pl|Offizier
trp_british_rifle_horn|95th Rifle Regiment of Foot
trp_british_rifle_horn_pl|Hornist
trp_british_hussar|1st KGL Husars
trp_british_hussar_pl|Husar
trp_british_hussar_nco|1st KGL Husars
trp_british_hussar_nco_pl|Unteroffizier
trp_british_hussar_officer|1st KGL Husars
trp_british_hussar_officer_pl|Offizier
trp_british_hussar_trumpet|1st KGL Husars
trp_british_hussar_trumpet_pl|Hornist
trp_british_light_dragoon|23rd Leichte Dragoner
trp_british_light_dragoon_pl|Leichte Kavallerie
trp_british_light_dragoon_nco|23rd Leichte Dragoner
trp_british_light_dragoon_nco_pl|Unteroffizier
trp_british_light_dragoon_officer|23rd Leichte Dragoner
trp_british_light_dragoon_officer_pl|Offizier
trp_british_light_dragoon_trumpet|23rd Leichte Dragoner
trp_british_light_dragoon_trumpet_pl|Hornist
trp_british_dragoon|6th Dragoner
trp_british_dragoon_pl|Schwere Kavallerie
trp_british_dragoon_nco|6th Dragoner
trp_british_dragoon_nco_pl|Unteroffizier
trp_british_dragoon_officer|6th Dragoner
trp_british_dragoon_officer_pl|Offizier
trp_british_dragoon_trumpet|6th Dragoner
trp_british_dragoon_trumpet_pl|Hornist
trp_british_horseguard|Royal Horse Guards Blue
trp_british_horseguard_pl|Schwere Kavallerie
trp_british_horseguard_nco|Royal Horse Guards Blue
trp_british_horseguard_nco_pl|Unteroffizier
trp_british_horseguard_officer|Royal Horse Guards Blue
trp_british_horseguard_officer_pl|Offizier
trp_british_horseguard_trumpet|RoyalRoyal Horse Guards Blue
trp_british_horseguard_trumpet_pl|Hornist
trp_british_arty|Royal Foot Artillery
trp_british_arty_pl|Artillerie
trp_british_arty_guard|Artillery Guard
trp_british_arty_guard_pl|Artillery Guard
trp_british_arty_nco|Royal Foot Artillery
trp_british_arty_nco_pl|Artillerie Zug
trp_british_arty_officer|Royal Foot Artillery
trp_british_arty_officer_pl|Offizier
trp_british_rocket|2nd Rocket Troop
trp_british_rocket_pl|Artillerie
trp_british_medic|Surgeon
trp_british_medic_pl|Surgeon
trp_british_sapper|Sapper
trp_british_sapper_pl|Pionier
trp_british_ship|Schiffscrew
trp_british_ship_pl|Infanterie
trp_british_ship_cannon|Ship Crew
trp_british_ship_cannon_pl|Schiff Artillerie
trp_british_ship_marine|Schiffscrew
trp_british_ship_marine_pl|Marine, 1st Battalion - Royal Marines
trp_british_ship_captain|Schiffscrew
trp_british_ship_captain_pl|Post Captain, HMS Neptune
trp_wellington|Arthur Wellesley, Duke of Wellington
trp_wellington_pl|General
trp_french_infantry|45e Regiment d'Infanterie de ligne
trp_french_infantry_pl|Linieninfanterie
trp_french_infantry_nco|45e Regiment d'Infanterie de ligne
trp_french_infantry_nco_pl|Unteroffizier
trp_french_infantry_officer|45e Regiment d'Infanterie de ligne
trp_french_infantry_officer_pl|Offizier
trp_french_infantry_drum|45e Regiment d'Infanterie de ligne
trp_french_infantry_drum_pl|Trommler
trp_french_infantry_flute|45e Regiment d'Infanterie de ligne
trp_french_infantry_flute_pl|Flötenspieler
trp_french_infantry2|84e Regiment d'Infanterie de ligne
trp_french_infantry2_pl|Linieninfanterie
trp_french_infantry2_nco|84e Regiment d'Infanterie de ligne
trp_french_infantry2_nco_pl|Unteroffizier
trp_french_infantry2_officer|84e Regiment d'Infanterie de ligne
trp_french_infantry2_officer_pl|Offizier
trp_french_infantry2_drum|84e Regiment d'Infanterie de ligne
trp_french_infantry2_drum_pl|Trommler
trp_french_infantry2_flute|84e Regiment d'Infanterie de ligne
trp_french_infantry2_flute_pl|Flötenspieler
trp_french_infantry_vistula|Legion de la Vistule
trp_french_infantry_vistula_pl|Linieninfanterie
trp_french_infantry_vistula_nco|Legion de la Vistule
trp_french_infantry_vistula_nco_pl|Unteroffizier
trp_french_infantry_vistula_officer|Legion de la Vistule
trp_french_infantry_vistula_officer_pl|Offizier
trp_french_infantry_vistula_drum|Legion de la Vistule
trp_french_infantry_vistula_drum_pl|Trommler
trp_french_infantry_vistula_flute|Legion de la Vistule
trp_french_infantry_vistula_flute_pl|Flötenspieler
trp_french_old_guard|1er Regiment de Grenadiere de la Garde Imperiale
trp_french_old_guard_pl|Garde zu Fuss
trp_french_old_guard_nco|1er Regiment de Grenadiere de la Garde Imperiale
trp_french_old_guard_nco_pl|Unteroffizier
trp_french_old_guard_officer|1er Regiment de Grenadiere de la Garde Imperiale
trp_french_old_guard_officer_pl|Offizier
trp_french_old_guard_drum|1er Regiment de Grenadiere de la Garde Imperiale
trp_french_old_guard_drum_pl|Trommler
trp_french_old_guard_flute|1er Regiment de Grenadiere de la Garde Imperiale
trp_french_old_guard_flute_pl|Flötenspieler
trp_french_voltigeur|15eme Regiment d'Infanterie Legere
trp_french_voltigeur_pl|Leichte Infanterie
trp_french_voltigeur_flag_bearer|15eme Regiment d'Infanterie Legere
