trp_player|Игрок
trp_russian_dragoon_ai_pl|Драгуны
trp_russian_horse_guard_ai|Русский кавалергард
trp_russian_horse_guard_ai_pl|Кавалергарды
trp_russian_arty_ai|Русский артиллерист
trp_russian_arty_ai_pl|Артиллерия(Пушка)
trp_russian_arty_alt_ai|Русский артиллерист
trp_russian_arty_alt_ai_pl|Артиллерия(Гаубица)
trp_austrian_infantry_ai|Немецкий"линейный пехотинец
trp_austrian_infantry_ai_pl|Немецкая"линейная пехота
trp_austrian_infantry2_ai|Венгерский" линейный пехотинец
trp_austrian_infantry2_ai_pl|Венгерская"линейная пехота
trp_austrian_grenzer_ai|Австрийский граничар
trp_austrian_grenzer_ai_pl|Граничары
trp_austrian_grenadier_ai|Венгерский" гренадер
trp_austrian_grenadier_ai_pl|Гренадеры
trp_austrian_infantry_rifle_ai|Австрийский егерь
trp_austrian_infantry_rifle_ai_pl|Егеря
trp_austrian_hussar_ai|Австрийский гусар
trp_austrian_hussar_ai_pl|Гусары
trp_austrian_uhlan_ai|Австрийский улан
trp_austrian_uhlan_ai_pl|Уланы
trp_austrian_light_horse_ai|Австрийский шевальжер
trp_austrian_light_horse_ai_pl|Шевальжеры
trp_austrian_dragoon_ai|Австрийский драгун
trp_austrian_dragoon_ai_pl|Драгуны
trp_austrian_cuirassier_ai|Австрийский кирасир
trp_austrian_cuirassier_ai_pl|Кирасиры
trp_austrian_arty_ai|Австрийский артиллерист
trp_austrian_arty_ai_pl|Артиллерия(Пушка)
trp_austrian_arty_alt_ai|Австрийский артиллерист
trp_austrian_arty_alt_ai_pl|Артиллерия(Гаубица)
trp_rhine_infantry_bavaria_ai|Баварский линейный пехотинец
trp_rhine_infantry_bavaria_ai_pl|Баварская линейная пехота
trp_rhine_infantry_wurttemberg_ai|Вюрттембергский линейный пехотинец
trp_rhine_infantry_wurttemberg_ai_pl|Вюрттембергская линейная пехота
trp_rhine_infantry_saxony_ai|Саксонский линейный пехотинец
trp_rhine_infantry_saxony_ai_pl|Саксонская линейная пехота
trp_rhine_infantry_wurttemberg2_ai|Вюрттембергский гренадер
trp_rhine_infantry_wurttemberg2_ai_pl|Вюрггембергские гренадеры
trp_rhine_grenadier_guard_ai|Вестфальский гвардейский гренадер
trp_rhine_grenadier_guard_ai_pl|Вестфальские гвардейские гренадеры
trp_rhine_light_infantry_hessen_ai|Гессенский легкий пехотинец
trp_rhine_light_infantry_hessen_ai_pl|Гессенская легкая пехота
trp_rhine_light_infantry_bavaria_ai|Баварский стрелок
trp_rhine_light_infantry_bavaria_ai_pl|Баварские стрелки
trp_rhine_mounted_jaeger_ai|Конный егерь из Нассау
trp_rhine_mounted_jaeger_ai_pl|Конные егеря из Нассау
trp_rhine_uhlan_ai|Саксонский улан
trp_rhine_uhlan_ai_pl|Саксонские уланы
trp_rhine_light_dragoon_ai|Баденский легкий драгун
trp_rhine_light_dragoon_ai_pl|Баденские легкие драгуны
trp_rhine_cuirassier_ai|Вестфальский кирасир
trp_rhine_cuirassier_ai_pl|Вестфальские кирасиры
trp_rhine_garde_du_corps_ai|Саксонский конногвардеец
trp_rhine_garde_du_corps_ai_pl|Саксонские конногвардейцы
trp_rhine_arty_ai|Баварский артиллерист
trp_rhine_arty_ai_pl|Баварская артиллерия (Пушка)
trp_rhine_arty_alt_ai|Баварский артиллерист
trp_rhine_arty_alt_ai_pl|Баварская артиллерия (Гаубица)
trp_austrian_11_ai_pl|Немецкий линейный пехотинец
trp_austrian_11_ai|Немецкий линейный пехотинец
trp_austrian_16_ai_pl|Гренадеры
trp_austrian_16_ai|Немецкий гренадер
trp_austrian_24_ai_pl|Немецкий линейный пехотинец
trp_austrian_24_ai|Немецкий линейный пехотинец
trp_austrian_31_ai_pl|Венгерский линейный пехотинец
trp_austrian_31_ai|Венгерский линейный пехотинец
trp_austrian_34_ai_pl|Венгерский линейный пехотинец
trp_austrian_34_ai|Венгерский линейный пехотинец
trp_austrian_39_ai_pl|Венгерский линейный пехотинец
trp_austrian_39_ai|Венгерский линейный пехотинец
trp_austrian_4_ai_pl|Немецкий линейный пехотинец
trp_austrian_4_ai|Немецкий линейный пехотинец
trp_austrian_51_ai_pl|Немецкий линейный пехотинец
trp_austrian_51_ai|Венгерский линейный пехотинец
trp_austrian_56_ai_pl|Гренадеры
trp_austrian_56_ai|Немецкий гренадер
trp_austrian_59_ai_pl|Венгерский линейный пехотинец
trp_austrian_59_ai|Немецкий линейный пехотинец
trp_austrian_cuirassier5_ai_pl|Кирасиры
trp_austrian_cuirassier5_ai|Австрийский кирасир
trp_austrian_grenzer5_ai_pl|Граничары
trp_austrian_grenzer5_ai|Австрийский граничар
trp_austrian_horseart_ai_pl|Конная артиллерия
trp_austrian_horseart_ai|Австрийский Конная артиллерия
trp_austrian_hussar12_ai_pl|Гусары
trp_austrian_hussar12_ai|Австрийский гусар
trp_brit_canadian_horsemen_ai_pl|Канадская колониальная легкая кавалерия
trp_brit_canadian_horsemen_ai|Канадская колониальная легкая кавалерия
trp_brit_canadian_infantry_ai_pl|Канадская колониальная пехота
trp_brit_canadian_infantry_ai|Канадская колониальная пехота
trp_brit_horseart_ai_pl|Королевская конная артиллерия
trp_brit_horseart_ai|Королевская конная артиллерия
trp_brit_indian_ai_pl|Индийская пехота
trp_brit_indian_ai|Индийская пехота
trp_british_highlander78_ai_pl|Линейная пехота
trp_british_highlander78_ai|Британский линейный пехотинец
trp_british_hussar_ai_pl|Hussars
trp_british_hussar_ai|British Hussar
trp_british_infantry14_ai_pl|Линейная пехота
trp_british_infantry14_ai|Британский линейный пехотинец
trp_french_corses_ai_pl|Корсиканские стрелки
trp_french_corses_ai|Корсиканские стрелки
trp_french_foot_dragoon_ai_pl|драгуны
trp_french_foot_dragoon_ai|Французский драгун
trp_french_gendarme_ai_pl|Французский жандарм
trp_french_gendarme_ai|Французский жандарм
trp_french_guard_marines_ai_pl|Французская морская гвардия
trp_french_guard_marines_ai|Французская морская гвардия
trp_french_guard_light_ai|Французский вольтижер
trp_french_guard_light_ai_pl|Вольтижеры
trp_french_horseart_ai_pl|Конная артиллерия
trp_french_horseart_ai|Французская конная артиллерия
trp_french_hussar5_ai_pl|Hussars
trp_french_hussar5_ai|French Hussar
trp_french_infantry14_ai_pl|Линейная пехота
trp_french_infantry14_ai|Французский фузилер
trp_french_infantry3_ai_pl|Линейная пехота
trp_french_infantry3_ai|Французский фузилер
trp_french_infantry65_ai_pl|Линейная пехота
trp_french_infantry65_ai|Французский фузилер
trp_french_infantry_1er_ai_pl|Линейная пехота
trp_french_infantry_1er_ai|Французский фузилер
trp_french_infantry_swiss_ai_pl|Швейцарская линейная пехота
trp_french_infantry_swiss_ai|Швейцарская линейная пехота
trp_french_mounted_chasseur_ai_pl|Французский конный егерь
trp_french_mounted_chasseur_ai|Французский конный егерь
trp_nwe_rus_horse_arty_ai_pl|Русская конная артиллерия
trp_nwe_rus_horse_arty_ai|Русская конная артиллерия
trp_ottoman_arty_ai_pl|османская артиллерия (Пушка)
trp_ottoman_arty_ai|османская артиллерия
trp_ottoman_arty_alt_ai_pl|османская артиллерия (Гаубица)
trp_ottoman_arty_alt_ai|османская артиллерия
trp_ottoman_arty_guard_ai_pl|Османская артиллерийская гвардия
trp_ottoman_arty_guard_ai|Османская артиллерийская гвардия
trp_ottoman_bashi_ai_pl|Башибузуки
trp_ottoman_bashi_ai|Башибузуки
trp_ottoman_camel_cav_ai_pl|Легкая верблюжья кавалерия
trp_ottoman_camel_cav_ai|Османская Легкая верблюжья кавалерия
trp_ottoman_camel_heavy_cav_ai_pl|Тяжелая верблюжья кавалерия
trp_ottoman_camel_heavy_cav_ai|Османская Тяжелая верблюжья кавалерия
trp_ottoman_cuirassier_ai_pl|Кирасиры
trp_ottoman_cuirassier_ai|Османская кирасир
trp_ottoman_dragoon_ai_pl|драгуны
trp_ottoman_dragoon_ai|Османская драгун
trp_ottoman_heavy_cavalry_ai_pl|Мамлюки
trp_ottoman_heavy_cavalry_ai|Мамлюки
trp_ottoman_horseart_ai_pl|Конная артиллерия
trp_ottoman_horseart_ai|Османская конная артиллерия
trp_ottoman_horseart_guard_ai_pl|Османская Конная артиллерийская гвардия
trp_ottoman_horseart_guard_ai|Османская Конная артиллерийская гвардия
trp_ottoman_hussar_ai_pl|Hussars
trp_ottoman_hussar_ai|Османская Hussar
trp_ottoman_jani_ai_pl|Османская Янычар
trp_ottoman_jani_ai|Османская Янычар
trp_ottoman_jani_istanbul_ai_pl|Османская Янычар
trp_ottoman_jani_istanbul_ai|Османская Янычар
trp_ottoman_lancer_ai_pl|уланы
trp_ottoman_lancer_ai|Османская улан
trp_ottoman_levend_ai_pl|Линейная пехота
trp_ottoman_levend_ai|Османская линейный пехотинец
trp_ottoman_libyan_ai_pl|Ливийский бедуин
trp_ottoman_libyan_ai|Ливийский бедуин
trp_ottoman_light_ai_pl|Албанская легкая пехота
trp_ottoman_light_ai|Албанская легкая пехота
trp_ottoman_rifle_ai_pl|Османская стрелки
trp_ottoman_rifle_ai|Османская стрелки
trp_ottoman_ship_ai_pl|Моряки
trp_ottoman_ship_ai|Османская Sailor
trp_ottoman_ship_cannon_ai_pl|Моряки
trp_ottoman_ship_cannon_ai|Османская Морская артиллерия
trp_ottoman_ship_marine_ai_pl|морская пехота
trp_ottoman_ship_marine_ai|Османская морской
trp_ottoman_subara_ai_pl|Линейная пехота
trp_ottoman_subara_ai|Османская линейный пехотинец
trp_ottoman_uskudar_ai_pl|Линейная пехота
trp_ottoman_uskudar_ai|Османская линейный пехотинец
trp_pruss_brun_ai_pl|Пешая Гвардия
trp_pruss_brun_ai|Прусская пехотная гвардия
trp_pruss_cav_silesian_ai_pl|Кирасиры
trp_pruss_cav_silesian_ai|Прусская кирасир
trp_pruss_freiw_ai_pl|егерь
trp_pruss_freiw_ai|Прусская егерь
trp_pruss_horseart_ai_pl|Конная артиллерия
trp_pruss_horseart_ai|Прусская конная артиллерия
trp_rhine_grenadier_guard2_ai_pl|гвардейский гренадер
trp_rhine_grenadier_guard2_ai|Берга гвардейский гренадер
trp_rhine_horseart_ai_pl|Конная артиллерия
trp_rhine_horseart_ai|Саксонская конная артиллерия
trp_russian_butyrskiy_infantry_ai_pl|Линейная пехота
trp_russian_butyrskiy_infantry_ai|Русский линейный пехотинец
trp_russian_finnish_jaeger_ai_pl|Финский егерь
trp_russian_finnish_jaeger_ai|Финский егерь
trp_russian_glukhovskiy_cuirassier_ai_pl|Кирасиры
trp_russian_glukhovskiy_cuirassier_ai|Русский кирасир
trp_russian_internal_guard_ai_pl|Русский Внутренняя стража
trp_russian_internal_guard_ai|Русский Внутренняя стража
trp_russian_litovski_guard_ai_pl|Пешая Гвардия
trp_russian_litovski_guard_ai|Русский пеший гвардеец
trp_british_foot_guard1_ai|1-й гвардейский полк
trp_british_foot_guard1_ai_pl|Пешая гвардия
trp_british_hussar2_ai|2nd KGL Hussars
trp_british_hussar2_ai_pl|Гусары
trp_prussian_infantry_2_ai|2-й пехотный полк
trp_prussian_infantry_2_ai_pl|Линейная пехота
trp_prussian_infantry12_ai|12-й Бранденбургский пехотный полк
trp_prussian_infantry12_ai_pl|Линейная пехота
trp_prussian_infantry14_ai|14-й Вестфальский пехотный полк
trp_prussian_infantry14_ai_pl|Линейная пехота
trp_prussian_infantry18_ai|18-й пехотный полк
trp_prussian_infantry18_ai_pl|Линейная пехота
trp_prussian_infantry24_ai|24-й Бранденбургский пехотный полк
trp_prussian_infantry24_ai_pl|Линейная пехота
trp_prussian_infantry26_ai|26-й Магдебургский пехотный полк
trp_prussian_infantry26_ai_pl|Линейная пехота
trp_prussian_infantry_elbe_ai|2-й полк Эльбский ландвера
trp_prussian_infantry_elbe_ai_pl|Линейная пехота
trp_prussian_dragoon5_ai|5-й Бранденбургский драгунский полк
trp_prussian_dragoon5_ai_pl|Драгуны
trp_prussian_hussar_mhr_ai|10-й Магдебургский гусарский полк
trp_prussian_hussar_mhr_ai_pl|Гусары
trp_austrian_32_ai|32-й пехотный полк Эстерхази
trp_austrian_32_ai_pl|Линейная пехота
trp_italian_infantry1_ai|Итальянская линейная пехота
trp_italian_infantry2_ai|Итальянская линейная пехота
trp_italian_infantry3_ai|Итальянская линейная пехота
trp_italian_infantry4_ai|Итальянская линейная пехота
trp_italian_infantry5_ai|Итальянская линейная пехота
trp_italian_foot_guard1_ai|Итальянская пехотная гвардия
trp_italian_foot_guard2_ai|Итальянская пехотная гвардия
trp_italian_foot_guard3_ai|Итальянская пехотная гвардия
trp_italian_light_ai|Итальянская легкая пехота
trp_italian_rifle_ai|Итальянский егерь
trp_italian_hussar1_ai|Итальянский гусар
trp_italian_hussar2_ai|Итальянский гусар
trp_italian_dragoon_ai|Итальянский драгун
trp_italian_cuirassier1_ai|Итальянская конная гвардия
trp_italian_cuirassier2_ai|Итальянская конная гвардия
trp_italian_arty_ai|итальянская артиллерия
trp_italian_arty_alt_ai|итальянская артиллерия
trp_italian_horseart_ai|Итальянская конная артиллерия
trp_italian_ship_marine_ai|итальянская морская
trp_italian_ship_ai|итальянская морская
trp_italian_infantry1_ai_pl|Линейная пехота
trp_italian_infantry2_ai_pl|Линейная пехота
trp_italian_infantry3_ai_pl|Линейная пехота
trp_italian_infantry4_ai_pl|Линейная пехота
trp_italian_infantry5_ai_pl|Линейная пехота
trp_italian_foot_guard1_ai_pl|Пешая Гвардия
trp_italian_foot_guard2_ai_pl|Пешая Гвардия
trp_italian_foot_guard3_ai_pl|Пешая Гвардия
trp_italian_light_ai_pl|Легкая пехота
trp_italian_rifle_ai_pl|егерь
trp_italian_hussar1_ai_pl|Гусары
trp_italian_hussar2_ai_pl|Гусары
trp_italian_dragoon_ai_pl|драгуны
trp_italian_cuirassier1_ai_pl|Конная гвардия
trp_italian_cuirassier2_ai_pl|Конная гвардия
trp_italian_arty_ai_pl|Артиллерия (Пушка)
trp_italian_arty_alt_ai_pl|Артиллерия (Гаубица)
trp_italian_horseart_ai_pl|Конная артиллерия
trp_italian_ship_marine_ai_pl|морская пехота
trp_italian_ship_ai_pl|морская пехота
trp_rhine_infantry_saxony2_ai|Саксонский линейный пехотинец
trp_rhine_infantry_saxony2_ai_pl|Саксонская линейная пехота
trp_rhine_westphalian_hussar_ai|Вестфальский гусар
trp_rhine_westphalian_hussar_ai_pl|Гусары
trp_rhine_infantry_waldeck_ai|Пехотный батальон княжеств Уолдек
trp_rhine_infantry_waldeck_ai_pl|Линейная пехота
trp_rhine_wurt_guard_ai|Пеший караульный, Вюртемберг
trp_rhine_wurt_guard_ai_pl|Пешая гвардия
trp_russian_ship_marine_ai_pl|морская пехота
trp_russian_ship_ai_pl|морская пехота
trp_russian_ship_marine_ai|морская
trp_russian_ship_ai|морская
trp_british_infantry|33-й пехотный полк
trp_british_infantry_pl|Линейная пехота
trp_british_infantry_nco|33-й пехотный полк
trp_british_infantry_nco_pl|Сержант
trp_british_infantry_officer|33-й пехотный полк
trp_british_infantry_officer_pl|Офицер
trp_british_infantry_drum|33-й пехотный полк
trp_british_infantry_drum_pl|Барабанщик
trp_british_infantry_flute|33-й пехотный полк
trp_british_infantry_flute_pl|Флейтист
trp_british_infantry2|5-й линейный батальон Королевского Германского Легиона
trp_british_infantry2_pl|Линейная пехота
trp_british_infantry2_nco|Kings German Legion 5th Battalion
trp_british_infantry2_nco_pl|Сержант
trp_british_infantry2_officer|Kings German Legion 5th Battalion
trp_british_infantry2_officer_pl|Офицер
trp_british_infantry2_drum|Kings German Legion 5th Battalion
trp_british_infantry2_drum_pl|Барабанщик
trp_british_infantry2_flute|Kings German Legion 5th Battalion
trp_british_infantry2_flute_pl|Флейтист
trp_british_highlander|42-й пехотный полк хайлэндеров (Черная Стража)
trp_british_highlander_pl|Линейная пехота
trp_british_highlander_nco|42nd Highland Regiment of Foot
trp_british_highlander_nco_pl|Сержант
trp_british_highlander_officer|42nd Highland Regiment of Foot
trp_british_highlander_officer_pl|Офицер
trp_british_highlander_drum|42nd Highland Regiment of Foot
trp_british_highlander_drum_pl|Барабанщик
trp_british_highlander_pipes|42nd Highland Regiment of Foot
trp_british_highlander_pipes_pl|Волынщик
trp_british_foot_guard|2-й гвардейский полк (Колдстримские гвардейцы)
trp_british_foot_guard_pl|Пешая гвардия
trp_british_foot_guard_nco|2nd Regiment of Foot Guards (Coldstream)
trp_british_foot_guard_nco_pl|Сержант
trp_british_foot_guard_officer|2nd Regiment of Foot Guards (Coldstream)
trp_british_foot_guard_officer_pl|Офицер
trp_british_foot_guard_drum|2nd Regiment of Foot Guards (Coldstream)
trp_british_foot_guard_drum_pl|Барабанщик
trp_british_foot_guard_flute|2nd Regiment of Foot Guards (Coldstream)
trp_british_foot_guard_flute_pl|Флейтист
trp_british_light_infantry|51-й пехотный полк
trp_british_light_infantry_pl|Легкая пехота
trp_british_light_infantry_nco|51st Regiment of Foot
trp_british_light_infantry_nco_pl|Сержант
trp_british_light_infantry_officer|51st Regiment of Foot
trp_british_light_infantry_officer_pl|Офицер
trp_british_light_infantry_horn|51st Regiment of Foot
trp_british_light_infantry_horn_pl|Горнист
trp_british_rifle|95-й пехотный полк (Райфлз)
trp_british_rifle_pl|Стрелки
trp_british_rifle_nco|95th Rifle Regiment of Foot
trp_british_rifle_nco_pl|Сержант
trp_british_rifle_officer|95th Rifle Regiment of Foot
trp_british_rifle_officer_pl|Офицер
trp_british_rifle_horn|95th Rifle Regiment of Foot
trp_british_rifle_horn_pl|Горнист
trp_british_hussar|1st KGL Hussars
trp_british_hussar_pl|Гусары
trp_british_hussar_nco|1st KGL Hussars
trp_british_hussar_nco_pl|Штандартоносец
trp_british_hussar_officer|1st KGL Hussars
trp_british_hussar_officer_pl|Офицер
trp_british_hussar_trumpet|1st KGL Hussars
trp_british_hussar_trumpet_pl|Трубач
trp_british_light_dragoon|23-й полк легких драгун
trp_british_light_dragoon_pl|Легкая кавалерия
trp_british_light_dragoon_nco|23rd Light Dragoons
trp_british_light_dragoon_nco_pl|Штандартоносец
trp_british_light_dragoon_officer|23rd Light Dragoons
trp_british_light_dragoon_officer_pl|Офицер
trp_british_light_dragoon_trumpet|23rd Light Dragoons
trp_british_light_dragoon_trumpet_pl|Трубач
trp_british_dragoon|6-й драгунский полк ( Иннискиллингский)
trp_british_dragoon_pl|Тяжелая кавалерия
trp_british_dragoon_nco|6th (Inniskilling) Dragoons
trp_british_dragoon_nco_pl|Штандартоносец
trp_british_dragoon_officer|6th (Inniskilling) Dragoons
trp_british_dragoon_officer_pl|Офицер
trp_british_dragoon_trumpet|6th (Inniskilling) Dragoons
trp_british_dragoon_trumpet_pl|Трубач
trp_british_horseguard|Полк Королевской Конной Гвардии (Синие)
trp_british_horseguard_pl|Тяжелая кавалерия
trp_british_horseguard_nco|Royal Horse Guards Blue
trp_british_horseguard_nco_pl|Штандартоносец
trp_british_horseguard_officer|Royal Horse Guards Blue
trp_british_horseguard_officer_pl|Офицер
trp_british_horseguard_trumpet|Royal Horse Guards Blue
trp_british_horseguard_trumpet_pl|Трубач
trp_british_arty|Королевская пешая артиллерия
trp_british_arty_pl|Артиллерия
trp_british_arty_guard|Вооруженный артиллерист
trp_british_arty_guard_pl|Вооруженные артиллеристы
trp_british_arty_nco|Королевская пешая артиллерия
trp_british_arty_nco_pl|Ездовой артиллерийского поезда
trp_british_arty_officer|Royal Foot Artillery
trp_british_arty_officer_pl|Офицер
trp_british_rocket|2-я ракетная рота
trp_british_rocket_pl|Ракетная артиллерия
trp_british_medic|Хирург
trp_british_medic_pl|Хирурги
trp_british_sapper|Сапeр
trp_british_sapper_pl|Инженер
trp_british_ship|Корабельный экипаж
trp_british_ship_pl|Пехота
trp_british_ship_cannon|Корабельный экипаж
trp_british_ship_cannon_pl|Морская артиллерия
trp_british_ship_marine|Корабельный экипаж
trp_british_ship_marine_pl|Морской пехотинец, 1-й батальон - Королевская морская пехота.
trp_british_ship_captain|Корабельный экипаж
trp_british_ship_captain_pl|Капитан 1-го ранга, "Нептун
trp_wellington|Артур Уэлсли, 1-й герцог Веллингтон
trp_wellington_pl|Генерал
trp_french_infantry|45-й полк линейной пехоты
trp_french_infantry_pl|Линейная пехота
trp_french_infantry_nco|45e Regiment d'Infanterie de ligne
trp_french_infantry_nco_pl|Сержант
trp_french_infantry_officer|45e Regiment d'Infanterie de ligne
trp_french_infantry_officer_pl|Офицер
trp_french_infantry_drum|45e Regiment d'Infanterie de ligne
trp_french_infantry_drum_pl|Барабанщик
trp_french_infantry_flute|45e Regiment d'Infanterie de ligne
trp_french_infantry_flute_pl|Флейтист
trp_french_infantry2|84-й полк линейной пехоты (Один против десяти)
trp_french_infantry2_pl|Линейная пехота
trp_french_infantry2_nco|84e Regiment d'Infanterie de ligne
trp_french_infantry2_nco_pl|Сержант
trp_french_infantry2_officer|84e Regiment d'Infanterie de ligne
trp_french_infantry2_officer_pl|Офицер
trp_french_infantry2_drum|84e Regiment d'Infanterie de ligne
trp_french_infantry2_drum_pl|Барабанщик
trp_french_infantry2_flute|84e Regiment d'Infanterie de ligne
trp_french_infantry2_flute_pl|Флейтист
trp_french_infantry_vistula|3-й полк Легиона Вислы
trp_french_infantry_vistula_pl|Линейная пехота
trp_french_infantry_vistula_nco|Legion de la Vistule
trp_french_infantry_vistula_nco_pl|Сержант
trp_french_infantry_vistula_officer|Legion de la Vistule
trp_french_infantry_vistula_officer_pl|Офицер
trp_french_infantry_vistula_drum|Legion de la Vistule
trp_french_infantry_vistula_drum_pl|Барабанщик
trp_french_infantry_vistula_flute|Legion de la Vistule
trp_french_infantry_vistula_flute_pl|Флейтист
trp_french_old_guard|1-й полк пеших гренадер Императорской Гвардии (Ворчуны)
trp_french_old_guard_pl|Пешая гвардия
trp_french_old_guard_nco|1er Regiment de Grenadiers de la Garde Imperiale
trp_french_old_guard_nco_pl|Сержант
trp_french_old_guard_officer|1er Regiment de Grenadiers de la Garde Imperiale
trp_french_old_guard_officer_pl|Офицер
trp_french_old_guard_drum|1er Regiment de Grenadiers de la Garde Imperiale
trp_french_old_guard_drum_pl|Барабанщик
trp_french_old_guard_flute|1er Regiment de Grenadiers de la Garde Imperiale
trp_french_old_guard_flute_pl|Флейтист
trp_french_voltigeur|15-й полк лeгкой пехоты
trp_french_voltigeur_pl|Лeгкая пехота
trp_french_voltigeur_nco|15eme Regiment d'Infanterie Legere
trp_french_voltigeur_nco_pl|Сержант
trp_french_voltigeur_officer|15eme Regiment d'Infanterie Legere
